gene_name,gtf_gene_name
AFDN,MLLT4
DUX4L1,DUX4
KNL1,CASC5
LHFPL6,LHFP
MRE11,MRE11A
MRTFA,MKL1
NSD2,WHSC1
NSD3,WHSC1L1
SEM1,SHFM1
SHTN1,KIAA1598
TENT5C,FAM46C
WDCP,C2orf44
