gene_name,cn_type
AC026254.2,deletion
AC026271.1,deletion
AC026271.2,deletion
AC026271.3,deletion
AC026271.4,deletion
AC026304.1,deletion
AC026310.1,deletion
AC026310.2,deletion
AC026310.3,deletion
AC026316.1,deletion
AC026316.2,deletion
AC026316.3,deletion
AC026316.4,deletion
AC026316.5,deletion
AC026320.1,deletion
AC026320.2,deletion
AC026333.1,deletion
AC026333.2,deletion
AC026333.3,deletion
AC026333.4,deletion
AC026336.1,deletion
AC026336.2,deletion
AC026336.3,deletion
AC026336.4,deletion
AC026336.5,deletion
AC026347.1,deletion
AC026348.1,deletion
AC026353.1,deletion
AC026355.1,deletion
AC026355.2,deletion
AC026355.3,deletion
AC026356.1,deletion
AC026356.2,deletion
AC026358.1,deletion
AC026362.1,deletion
AC026362.2,deletion
AC026367.1,deletion
AC026367.2,deletion
AC026367.3,deletion
AC026368.1,deletion
AC026369.1,deletion
AC026369.2,deletion
AC026369.3,deletion
AC026371.1,deletion
AC026391.1,deletion
AC026396.1,deletion
AC026398.1,deletion
AC026401.1,deletion
AC026401.2,deletion
AC026401.3,deletion
AC026402.1,deletion
AC026403.1,deletion
AC026407.1,deletion
AC026410.1,deletion
AC026410.2,deletion
AC026410.3,deletion
AC026412.1,deletion
AC026412.2,deletion
AC026412.3,deletion
AC026414.1,deletion
AC026415.1,deletion
AC026421.1,deletion
AC026422.1,deletion
AC026427.1,deletion
AC026427.2,deletion
AC026434.1,deletion
AC026434.2,deletion
AC026436.1,deletion
AC026444.1,deletion
AC026458.1,deletion
AC026458.2,deletion
AC026461.1,deletion
AC026461.2,deletion
AC026461.3,deletion
AC026461.4,deletion
AC026462.1,deletion
AC026462.2,deletion
AC026462.3,deletion
AC026462.4,deletion
AC026464.1,deletion
AC026464.2,deletion
AC026464.3,deletion
AC026464.4,deletion
AC026464.5,deletion
AC026468.1,deletion
AC026469.1,deletion
AC026470.1,deletion
AC026470.2,deletion
AC026470.3,deletion
AC026471.1,deletion
AC026471.2,deletion
AC026471.3,deletion
AC026471.4,deletion
AC026471.5,deletion
AC026471.6,deletion
AC026474.1,deletion
AC026477.1,deletion
AC026495.1,deletion
AC026523.1,deletion
AC026523.2,deletion
AC026583.1,deletion
AC026585.1,deletion
AC026616.1,deletion
AC026620.1,deletion
AC026634.1,deletion
AC026688.1,deletion
AC026688.2,deletion
AC026691.1,deletion
AC026700.1,deletion
AC026704.1,deletion
AC026719.1,deletion
AC026719.2,deletion
AC026725.1,deletion
AC026726.1,deletion
AC026740.1,deletion
AC026741.1,deletion
AC026746.1,deletion
AC026748.1,deletion
AC026765.1,deletion
AC026765.2,deletion
AC026770.1,deletion
AC026771.1,deletion
AC026774.1,deletion
AC026774.2,deletion
AC026780.1,deletion
AC026780.2,deletion
AC026782.1,deletion
AC026782.2,deletion
AC026784.1,deletion
AC026785.1,deletion
AC026785.2,deletion
AC026785.3,deletion
AC026786.1,deletion
AC026786.2,deletion
AC026787.1,deletion
AC026790.1,deletion
AC026797.1,deletion
AC026798.1,deletion
AC026801.1,deletion
AC026801.2,deletion
AC026803.1,deletion
AC026803.2,deletion
AC026826.1,deletion
AC026826.2,deletion
AC026826.3,deletion
AC026877.1,deletion
AC026884.1,deletion
AC026887.1,deletion
AC026888.1,deletion
AC026894.1,deletion
AC026898.1,deletion
AC026904.1,deletion
AC026904.2,deletion
AC026904.3,deletion
AC026904.4,deletion
AC026950.2,deletion
AC026951.1,deletion
AC026951.2,deletion
AC026954.1,deletion
AC026954.2,deletion
AC026954.3,deletion
AC026956.1,deletion
AC026979.1,deletion
AC026979.2,deletion
AC026979.3,deletion
AC026991.1,deletion
AC026992.1,deletion
AC026992.2,deletion
AC027013.1,deletion
AC027018.1,deletion
AC027020.1,deletion
AC027020.2,deletion
AC027026.1,deletion
AC027031.1,deletion
AC027031.2,deletion
AC027045.1,deletion
AC027045.2,deletion
AC027045.3,deletion
AC027088.1,deletion
AC027088.2,deletion
AC027088.3,deletion
AC027088.4,deletion
AC027097.1,deletion
AC027097.2,deletion
AC027104.1,deletion
AC027117.1,deletion
AC027117.2,deletion
AC027119.1,deletion
AC027124.1,deletion
AC027124.2,deletion
AC027130.1,deletion
AC027139.1,deletion
AC027139.2,deletion
AC027176.1,deletion
AC027176.2,deletion
AC027176.3,deletion
AC027216.1,deletion
AC027228.1,deletion
AC027228.2,deletion
AC027228.3,deletion
AC027229.1,deletion
AC027237.1,deletion
AC027237.2,deletion
AC027237.3,deletion
AC027237.4,deletion
AC027243.1,deletion
AC027243.2,deletion
AC027250.1,deletion
AC027271.1,deletion
AC027277.1,deletion
AC027277.2,deletion
AC027279.1,deletion
AC027279.2,deletion
AC027279.3,deletion
AC027279.4,deletion
AC027281.1,deletion
AC027281.2,deletion
AC027287.1,deletion
AC027287.2,deletion
AC027288.1,deletion
AC027288.2,deletion
AC027288.3,deletion
AC027290.1,deletion
AC027290.2,deletion
AC027306.1,deletion
AC027307.1,deletion
AC027307.2,deletion
AC027307.3,deletion
AC027308.1,deletion
AC027309.1,deletion
AC027309.2,deletion
AC027309.3,deletion
AC027312.1,deletion
AC027313.1,deletion
AC027315.1,deletion
AC027319.1,deletion
AC027328.1,deletion
AC027334.1,deletion
AC027335.1,deletion
AC027335.2,deletion
AC027338.1,deletion
AC027338.2,deletion
AC027343.1,deletion
AC027343.2,deletion
AC027343.3,deletion
AC027345.1,deletion
AC027348.1,deletion
AC027348.2,deletion
AC027369.1,deletion
AC027369.2,deletion
AC027369.3,deletion
AC027369.4,deletion
AC027369.5,deletion
AC027369.6,deletion
AC027373.1,deletion
AC027419.1,deletion
AC027419.2,deletion
AC027449.1,deletion
AC027451.1,deletion
AC027455.1,deletion
AC027458.1,deletion
AC027506.1,deletion
AC027514.1,deletion
AC027514.2,deletion
AC027541.1,deletion
AC027544.1,deletion
AC027544.2,deletion
AC027544.3,deletion
AC027559.1,deletion
AC027575.1,deletion
AC027575.2,deletion
AC027601.1,deletion
AC027601.2,deletion
AC027601.3,deletion
AC027601.4,deletion
AC027601.5,deletion
AC027607.1,deletion
AC027612.1,deletion
AC027612.2,deletion
AC027612.3,deletion
AC027612.4,deletion
AC027613.1,deletion
AC027627.1,deletion
AC027644.1,deletion
AC027644.2,deletion
AC027644.3,deletion
AC027644.4,deletion
AC027667.1,deletion
AC027673.1,deletion
AC027682.1,deletion
AC027682.2,deletion
AC027682.3,deletion
AC027682.4,deletion
AC027682.5,deletion
AC027682.6,deletion
AC027682.7,deletion
AC027688.1,deletion
AC027688.2,deletion
AC027698.1,deletion
AC027701.1,deletion
AC027702.1,deletion
AC027763.1,deletion
AC027763.2,deletion
AC027779.1,deletion
AC027796.1,deletion
AC027796.2,deletion
AC027796.3,deletion
AC027796.4,deletion
AC027796.5,deletion
AC027801.1,deletion
AC027801.2,deletion
AC027801.3,deletion
AC027801.4,deletion
AC027804.1,deletion
AC027807.1,deletion
AC027807.2,deletion
AC027808.1,deletion
AC027808.2,deletion
AC032011.1,deletion
AC032019.1,deletion
AC032019.2,deletion
AC032044.1,deletion
AC032044.2,deletion
AC034102.1,deletion
AC034102.2,deletion
AC034102.3,deletion
AC034102.4,deletion
AC034102.5,deletion
AC034102.6,deletion
AC034102.7,deletion
AC034102.8,deletion
AC034105.1,deletion
AC034105.2,deletion
AC034105.3,deletion
AC034105.4,deletion
AC034105.5,deletion
AC034111.1,deletion
AC034114.1,deletion
AC034114.2,deletion
AC034154.1,deletion
AC034159.1,deletion
AC034187.1,deletion
AC034195.1,deletion
AC034198.1,deletion
AC034198.2,deletion
AC034199.1,deletion
AC034205.1,deletion
AC034205.2,deletion
AC034205.3,deletion
AC034206.1,deletion
AC034207.1,deletion
AC034213.1,deletion
AC034222.1,deletion
AC034223.1,deletion
AC034223.2,deletion
AC034226.1,deletion
AC034228.1,deletion
AC034228.2,deletion
AC034228.3,deletion
AC034229.1,deletion
AC034229.2,deletion
AC034229.3,deletion
AC034229.4,deletion
AC034229.5,deletion
AC034229.6,deletion
AC034231.1,deletion
AC034232.1,deletion
AC034232.2,deletion
AC034234.1,deletion
AC034236.1,deletion
AC034236.2,deletion
AC034236.3,deletion
AC034238.1,deletion
AC034238.2,deletion
AC034238.3,deletion
AC034243.1,deletion
AC034244.1,deletion
AC034244.2,deletion
AC034245.1,deletion
AC034268.1,deletion
AC035139.1,deletion
AC035140.1,deletion
AC036101.1,deletion
AC036103.1,deletion
AC036108.1,deletion
AC036108.2,deletion
AC036108.3,deletion
AC036108.4,deletion
AC036111.1,deletion
AC036111.2,deletion
AC036111.3,deletion
AC036164.1,deletion
AC036176.1,deletion
AC036176.2,deletion
AC036176.3,deletion
AC036214.1,deletion
AC036214.2,deletion
AC036214.3,deletion
AC036222.1,deletion
AC036222.2,deletion
AC037198.1,deletion
AC037198.2,deletion
AC037441.1,deletion
AC037441.2,deletion
AC037450.1,deletion
AC037459.1,deletion
AC037459.2,deletion
AC037459.3,deletion
AC037459.4,deletion
AC037471.1,deletion
AC037471.2,deletion
AC037479.1,deletion
AC037486.1,deletion
AC037487.1,deletion
AC037487.2,deletion
AC037487.3,deletion
AC037487.4,deletion
AC039056.1,deletion
AC039056.2,deletion
AC040160.1,deletion
AC040160.2,deletion
AC040162.1,deletion
AC040162.2,deletion
AC040162.3,deletion
AC040168.1,deletion
AC040169.1,deletion
AC040169.2,deletion
AC040169.3,deletion
AC040170.1,deletion
AC040173.1,deletion
AC040174.1,deletion
AC040174.2,deletion
AC040896.1,deletion
AC040904.1,deletion
AC040914.1,deletion
AC040918.1,deletion
AC040926.1,deletion
AC040934.1,deletion
AC040936.1,deletion
AC040958.1,deletion
AC040963.1,deletion
AC040970.1,deletion
AC040975.1,deletion
AC040977.1,deletion
AC040977.2,deletion
AC040978.1,deletion
AC041039.1,deletion
AC041040.1,deletion
AC044781.1,deletion
AC044784.1,deletion
AC044784.2,deletion
AC044787.1,deletion
AC044792.1,deletion
AC044797.1,deletion
AC044798.1,deletion
AC044798.2,deletion
AC044802.1,deletion
AC044802.2,deletion
AC044810.1,deletion
AC044810.2,deletion
AC044810.3,deletion
AC044836.1,deletion
AC044839.1,deletion
AC044839.2,deletion
AC044839.3,deletion
AC044839.4,deletion
AC044839.5,deletion
AC044840.1,deletion
AC044849.1,deletion
AC044860.1,deletion
AC044860.2,deletion
AC044860.3,deletion
AC044873.1,deletion
AC044913.1,deletion
AC046130.1,deletion
AC046130.2,deletion
AC046134.1,deletion
AC046136.1,deletion
AC046143.1,deletion
AC046143.2,deletion
AC046144.1,deletion
AC046158.1,deletion
AC046158.2,deletion
AC046158.3,deletion
AC046158.4,deletion
AC046168.1,deletion
AC046168.2,deletion
AC046176.1,deletion
AC046185.1,deletion
AC046185.2,deletion
AC046185.3,deletion
AC046195.1,deletion
AC046195.2,deletion
AC048334.1,deletion
AC048337.1,deletion
AC048338.1,deletion
AC048341.1,deletion
AC048341.2,deletion
AC048344.1,deletion
AC048344.2,deletion
AC048344.3,deletion
AC048344.4,deletion
AC048346.1,deletion
AC048347.1,deletion
AC048351.1,deletion
AC048380.1,deletion
AC048380.2,deletion
AC048380.3,deletion
AC048382.1,deletion
AC048382.2,deletion
AC048382.3,deletion
AC048382.4,deletion
AC048382.5,deletion
AC048382.6,deletion
AC048383.1,deletion
AC048387.1,deletion
AC051618.1,deletion
AC051619.1,deletion
AC051619.2,deletion
AC051619.3,deletion
AC051619.4,deletion
AC051619.5,deletion
AC051619.6,deletion
AC051619.7,deletion
AC051619.8,deletion
AC051619.9,deletion
AC051649.1,deletion
AC053481.1,deletion
AC053481.2,deletion
AC053481.3,deletion
AC053481.4,deletion
AC053503.1,deletion
AC053503.2,deletion
AC053503.3,deletion
AC053503.4,deletion
AC053503.5,deletion
AC053503.6,deletion
AC053513.1,deletion
AC053527.1,deletion
AC055713.1,deletion
AC055716.1,deletion
AC055716.2,deletion
AC055716.3,deletion
AC055717.1,deletion
AC055717.2,deletion
AC055717.3,deletion
AC055720.1,deletion
AC055720.2,deletion
AC055731.1,deletion
AC055733.1,deletion
AC055733.2,deletion
AC055733.3,deletion
AC055733.4,deletion
AC055736.1,deletion
AC055748.1,deletion
AC055753.1,deletion
AC055758.1,deletion
AC055758.2,deletion
AC055764.1,deletion
AC055764.2,deletion
AC055811.1,deletion
AC055811.2,deletion
AC055811.3,deletion
AC055811.4,deletion
AC055813.1,deletion
AC055822.1,deletion
AC055839.1,deletion
AC055854.1,deletion
AC055855.1,deletion
AC055855.2,deletion
AC055860.1,deletion
AC055872.1,deletion
AC055874.1,deletion
AC055876.1,deletion
AC055876.2,deletion
AC055876.3,deletion
AC055876.4,deletion
AC055876.5,deletion
AC055876.6,deletion
AC055878.1,deletion
AC058791.1,deletion
AC058822.1,deletion
AC058823.1,deletion
AC060234.1,deletion
AC060234.2,deletion
AC060234.3,deletion
AC060764.1,deletion
AC060765.1,deletion
AC060766.1,deletion
AC060766.2,deletion
AC060766.3,deletion
AC060766.4,deletion
AC060766.5,deletion
AC060766.6,deletion
AC060766.7,deletion
AC060771.1,deletion
AC060773.1,deletion
AC060780.1,deletion
AC060780.2,deletion
AC060780.3,deletion
AC060788.1,deletion
AC060809.1,deletion
AC060814.1,deletion
AC060814.2,deletion
AC060814.3,deletion
AC060814.4,deletion
AC060814.5,deletion
AC060834.1,deletion
AC060834.2,deletion
AC061709.1,deletion
AC061709.2,deletion
AC061961.1,deletion
AC061965.1,deletion
AC061975.1,deletion
AC061975.2,deletion
AC061975.3,deletion
AC061975.4,deletion
AC061975.5,deletion
AC061975.6,deletion
AC061975.7,deletion
AC061979.1,deletion
AC061992.1,deletion
AC061999.1,deletion
AC062004.1,deletion
AC062015.1,deletion
AC062016.1,deletion
AC062016.2,deletion
AC062017.1,deletion
AC062020.1,deletion
AC062021.1,deletion
AC062022.1,deletion
AC062028.1,deletion
AC062028.2,deletion
AC062029.1,deletion
AC062031.1,deletion
AC062032.1,deletion
AC062037.1,deletion
AC062037.2,deletion
AC062039.1,deletion
AC063919.1,deletion
AC063923.1,deletion
AC063923.2,deletion
AC063924.1,deletion
AC063926.1,deletion
AC063926.2,deletion
AC063926.3,deletion
AC063943.1,deletion
AC063944.1,deletion
AC063944.2,deletion
AC063944.3,deletion
AC063947.1,deletion
AC063947.2,deletion
AC063948.1,deletion
AC063949.1,deletion
AC063949.2,deletion
AC063950.1,deletion
AC063952.1,deletion
AC063952.2,deletion
AC063952.3,deletion
AC063952.4,deletion
AC063955.1,deletion
AC063961.1,deletion
AC063962.1,deletion
AC063965.1,deletion
AC063976.1,deletion
AC063976.2,deletion
AC063976.3,deletion
AC063976.4,deletion
AC063977.1,deletion
AC063977.2,deletion
AC063977.3,deletion
AC063977.4,deletion
AC063977.5,deletion
AC063977.6,deletion
AC063977.7,deletion
AC063979.1,deletion
AC063979.2,deletion
AC063980.1,deletion
AC064799.1,deletion
AC064799.2,deletion
AC064801.1,deletion
AC064801.2,deletion
AC064802.1,deletion
AC064805.1,deletion
AC064805.2,deletion
AC064807.1,deletion
AC064807.2,deletion
AC064807.3,deletion
AC064807.4,deletion
AC064834.1,deletion
AC064836.1,deletion
AC064836.2,deletion
AC064836.3,deletion
AC064847.1,deletion
AC064850.1,deletion
AC064852.1,deletion
AC064853.1,deletion
AC064859.1,deletion
AC064862.1,deletion
AC064862.2,deletion
AC064862.3,deletion
AC064862.4,deletion
AC064862.5,deletion
AC064862.6,deletion
AC064862.7,deletion
AC064871.1,deletion
AC064872.1,deletion
AC064874.1,deletion
AC064875.1,deletion
AC066595.1,deletion
AC066612.1,deletion
AC066612.2,deletion
AC066613.1,deletion
AC066613.2,deletion
AC066615.1,deletion
AC066616.1,deletion
AC066616.2,deletion
AC066692.1,deletion
AC067735.1,deletion
AC067747.1,deletion
AC067750.1,deletion
AC067773.1,deletion
AC067805.1,deletion
AC067817.1,deletion
AC067817.2,deletion
AC067819.1,deletion
AC067838.1,deletion
AC067852.1,deletion
AC067852.2,deletion
AC067852.3,deletion
AC067852.4,deletion
AC067863.1,deletion
AC067863.2,deletion
AC067904.1,deletion
AC067904.2,deletion
AC067904.3,deletion
AC067930.1,deletion
AC067930.2,deletion
AC067930.3,deletion
AC067930.4,deletion
AC067930.5,deletion
AC067930.6,deletion
AC067931.1,deletion
AC067931.2,deletion
AC067940.1,deletion
AC067942.1,deletion
AC067942.2,deletion
AC067942.3,deletion
AC067945.1,deletion
AC067945.2,deletion
AC067945.3,deletion
AC067956.1,deletion
AC067959.1,deletion
AC067960.1,deletion
AC067968.1,deletion
AC067968.2,deletion
AC067969.1,deletion
AC067969.2,deletion
AC068014.1,deletion
AC068020.1,deletion
AC068025.1,deletion
AC068025.2,deletion
AC068042.1,deletion
AC068044.1,deletion
AC068050.1,deletion
AC068051.1,deletion
AC068057.1,deletion
AC068057.2,deletion
AC068058.1,deletion
AC068075.1,deletion
AC068112.1,deletion
AC068134.1,deletion
AC068134.2,deletion
AC068134.3,deletion
AC068134.4,deletion
AC068135.1,deletion
AC068135.2,deletion
AC068137.1,deletion
AC068137.2,deletion
AC068137.3,deletion
AC068137.4,deletion
AC068138.1,deletion
AC068152.1,deletion
AC068189.1,deletion
AC068196.1,deletion
AC068205.1,deletion
AC068205.2,deletion
AC068205.3,deletion
AC068205.4,deletion
AC068213.1,deletion
AC068228.1,deletion
AC068228.2,deletion
AC068234.1,deletion
AC068234.2,deletion
AC068234.3,deletion
AC068254.1,deletion
AC068254.2,deletion
AC068276.1,deletion
AC068279.1,deletion
AC068282.1,deletion
AC068286.1,deletion
AC068287.1,deletion
AC068295.1,deletion
AC068298.1,deletion
AC068299.1,deletion
AC068305.1,deletion
AC068305.2,deletion
AC068313.1,deletion
AC068338.1,deletion
AC068338.2,deletion
AC068338.3,deletion
AC068385.1,deletion
AC068389.1,deletion
AC068389.2,deletion
AC068389.3,deletion
AC068389.4,deletion
AC068397.1,deletion
AC068397.2,deletion
AC068408.1,deletion
AC068413.1,deletion
AC068418.1,deletion
AC068418.2,deletion
AC068446.1,deletion
AC068446.2,deletion
AC068446.3,deletion
AC068448.1,deletion
AC068472.1,deletion
AC068473.1,deletion
AC068473.2,deletion
AC068473.3,deletion
AC068473.4,deletion
AC068473.5,deletion
AC068481.1,deletion
AC068483.1,deletion
AC068489.1,deletion
AC068490.1,deletion
AC068491.1,deletion
AC068491.2,deletion
AC068491.3,deletion
AC068491.4,deletion
AC068492.1,deletion
AC068506.1,deletion
AC068512.1,deletion
AC068522.1,deletion
AC068531.1,deletion
AC068533.1,deletion
AC068533.2,deletion
AC068533.3,deletion
AC068533.4,deletion
AC068535.1,deletion
AC068538.1,deletion
AC068544.1,deletion
AC068547.1,deletion
AC068580.1,deletion
AC068580.2,deletion
AC068580.3,deletion
AC068580.4,deletion
AC068587.1,deletion
AC068587.2,deletion
AC068587.3,deletion
AC068587.4,deletion
AC068587.5,deletion
AC068587.6,deletion
AC068587.7,deletion
AC068587.8,deletion
AC068594.1,deletion
AC068594.2,deletion
AC068599.1,deletion
AC068620.1,deletion
AC068620.2,deletion
AC068620.3,deletion
AC068631.1,deletion
AC068631.2,deletion
AC068631.3,deletion
AC068633.1,deletion
AC068643.1,deletion
AC068643.2,deletion
AC068647.1,deletion
AC068647.2,deletion
AC068657.1,deletion
AC068658.1,deletion
AC068669.1,deletion
AC068672.1,deletion
AC068672.2,deletion
AC068672.3,deletion
AC068675.1,deletion
AC068700.1,deletion
AC068707.1,deletion
AC068714.1,deletion
AC068721.1,deletion
AC068722.1,deletion
AC068722.2,deletion
AC068724.1,deletion
AC068724.2,deletion
AC068724.3,deletion
AC068724.4,deletion
AC068726.1,deletion
AC068733.1,deletion
AC068733.2,deletion
AC068733.3,deletion
AC068756.1,deletion
AC068759.1,deletion
AC068760.1,deletion
AC068768.1,deletion
AC068768.2,deletion
AC068769.1,deletion
AC068775.1,deletion
AC068781.1,deletion
AC068787.1,deletion
AC068789.1,deletion
AC068790.1,deletion
AC068790.2,deletion
AC068790.3,deletion
AC068790.4,deletion
AC068790.5,deletion
AC068790.6,deletion
AC068790.7,deletion
AC068790.8,deletion
AC068790.9,deletion
AC068792.1,deletion
AC068802.1,deletion
AC068831.1,deletion
AC068831.2,deletion
AC068831.3,deletion
AC068831.4,deletion
AC068831.5,deletion
AC068831.6,deletion
AC068831.7,deletion
AC068858.1,deletion
AC068860.1,deletion
AC068867.1,deletion
AC068870.1,deletion
AC068870.2,deletion
AC068870.3,deletion
AC068875.1,deletion
AC068880.1,deletion
AC068880.2,deletion
AC068880.3,deletion
AC068880.4,deletion
AC068880.5,deletion
AC068888.1,deletion
AC068888.2,deletion
AC068896.1,deletion
AC068898.1,deletion
AC068898.2,deletion
AC068944.1,deletion
AC068944.2,deletion
AC068946.1,deletion
AC068946.2,deletion
AC068985.1,deletion
AC068987.1,deletion
AC068987.2,deletion
AC068987.3,deletion
AC068987.4,deletion
AC068987.5,deletion
AC068992.1,deletion
AC068993.1,deletion
AC068993.2,deletion
AC069023.1,deletion
AC069029.1,deletion
AC069061.1,deletion
AC069061.2,deletion
AC069079.1,deletion
AC069113.1,deletion
AC069113.2,deletion
AC069113.3,deletion
AC069114.1,deletion
AC069114.2,deletion
AC069120.1,deletion
AC069133.1,deletion
AC069148.1,deletion
AC069152.1,deletion
AC069154.1,deletion
AC069155.1,deletion
AC069157.1,deletion
AC069185.1,deletion
AC069200.1,deletion
AC069209.1,deletion
AC069213.1,deletion
AC069213.2,deletion
AC069213.3,deletion
AC069218.1,deletion
AC069218.2,deletion
AC069222.1,deletion
AC069224.1,deletion
AC069228.1,deletion
AC069234.1,deletion
AC069234.2,deletion
AC069234.3,deletion
AC069234.4,deletion
AC069234.5,deletion
AC069235.1,deletion
AC069236.1,deletion
AC069240.1,deletion
AC069257.1,deletion
AC069257.2,deletion
AC069257.3,deletion
AC069262.1,deletion
AC069271.1,deletion
AC069272.1,deletion
AC069277.1,deletion
AC069277.2,deletion
AC069280.1,deletion
AC069281.1,deletion
AC069281.2,deletion
AC069282.1,deletion
AC069285.1,deletion
AC069285.2,deletion
AC069287.1,deletion
AC069287.2,deletion
AC069287.3,deletion
AC069294.1,deletion
AC069304.1,deletion
AC069304.2,deletion
AC069304.3,deletion
AC069306.1,deletion
AC069307.1,deletion
AC069335.1,deletion
AC069360.1,deletion
AC069366.1,deletion
AC069366.2,deletion
AC069368.1,deletion
AC069421.1,deletion
AC069431.1,deletion
AC069431.2,deletion
AC069437.1,deletion
AC069439.1,deletion
AC069439.2,deletion
AC069444.1,deletion
AC069454.1,deletion
AC069499.1,deletion
AC069499.2,deletion
AC069503.1,deletion
AC069503.2,deletion
AC069503.3,deletion
AC069528.1,deletion
AC069528.2,deletion
AC069540.1,deletion
AC069540.2,deletion
AC069542.1,deletion
AC069542.2,deletion
AC069544.1,deletion
AC069545.1,deletion
AC069547.1,deletion
AC069549.1,deletion
AC072022.1,deletion
AC072026.1,deletion
AC072039.1,deletion
AC072039.2,deletion
AC072046.1,deletion
AC072046.2,deletion
AC072052.1,deletion
AC072061.1,deletion
AC072062.1,deletion
AC073023.1,deletion
AC073046.1,deletion
AC073046.2,deletion
AC073050.1,deletion
AC073052.1,deletion
AC073052.2,deletion
AC073055.1,deletion
AC073062.1,deletion
AC073063.1,deletion
AC073065.1,deletion
AC073071.1,deletion
AC073072.1,deletion
AC073072.2,deletion
AC073073.1,deletion
AC073073.2,deletion
AC073082.1,deletion
AC073089.1,deletion
AC073091.1,deletion
AC073091.2,deletion
AC073094.1,deletion
AC073107.1,deletion
AC073107.2,deletion
AC073109.1,deletion
AC073111.1,deletion
AC073111.2,deletion
AC073111.3,deletion
AC073111.4,deletion
AC073111.5,deletion
AC073114.1,deletion
AC073115.1,deletion
AC073115.2,deletion
AC073127.1,deletion
AC073130.1,deletion
AC073130.2,deletion
AC073130.3,deletion
AC073133.1,deletion
AC073133.2,deletion
AC073135.1,deletion
AC073136.1,deletion
AC073136.2,deletion
AC073137.1,deletion
AC073143.1,deletion
AC073150.1,deletion
AC073167.1,deletion
AC073172.1,deletion
AC073172.2,deletion
AC073174.1,deletion
AC073176.1,deletion
AC073176.2,deletion
AC073176.3,deletion
AC073188.1,deletion
AC073188.2,deletion
AC073188.3,deletion
AC073188.4,deletion
AC073188.5,deletion
AC073188.6,deletion
AC073195.1,deletion
AC073210.1,deletion
AC073210.2,deletion
AC073218.1,deletion
AC073218.2,deletion
AC073254.1,deletion
AC073255.1,deletion
AC073257.1,deletion
AC073257.2,deletion
AC073261.1,deletion
AC073263.1,deletion
AC073263.2,deletion
AC073263.3,deletion
AC073264.1,deletion
AC073264.2,deletion
AC073264.3,deletion
AC073283.1,deletion
AC073283.2,deletion
AC073283.3,deletion
AC073284.1,deletion
AC073288.1,deletion
AC073288.2,deletion
AC073308.1,deletion
AC073310.1,deletion
AC073311.1,deletion
AC073314.1,deletion
AC073316.1,deletion
AC073316.2,deletion
AC073316.3,deletion
AC073320.1,deletion
AC073321.1,deletion
AC073323.1,deletion
AC073324.1,deletion
AC073325.1,deletion
AC073325.2,deletion
AC073326.1,deletion
AC073332.1,deletion
AC073333.1,deletion
AC073333.2,deletion
AC073335.1,deletion
AC073335.2,deletion
AC073336.1,deletion
AC073342.1,deletion
AC073342.2,deletion
AC073342.3,deletion
AC073343.1,deletion
AC073343.2,deletion
AC073346.1,deletion
AC073346.2,deletion
AC073347.1,deletion
AC073348.1,deletion
AC073349.1,deletion
AC073349.2,deletion
AC073349.3,deletion
AC073352.1,deletion
AC073352.2,deletion
AC073358.1,deletion
AC073359.1,deletion
AC073359.2,deletion
AC073365.1,deletion
AC073367.1,deletion
AC073370.1,deletion
AC073387.1,deletion
AC073387.2,deletion
AC073389.1,deletion
AC073389.2,deletion
AC073389.3,deletion
AC073409.1,deletion
AC073410.1,deletion
AC073410.2,deletion
AC073413.1,deletion
AC073413.2,deletion
AC073415.1,deletion
AC073429.1,deletion
AC073429.2,deletion
AC073439.1,deletion
AC073464.1,deletion
AC073464.2,deletion
AC073464.3,deletion
AC073465.1,deletion
AC073465.2,deletion
AC073476.1,deletion
AC073476.2,deletion
AC073476.3,deletion
AC073476.4,deletion
AC073486.1,deletion
AC073487.1,deletion
AC073488.1,deletion
AC073488.10,deletion
AC073488.11,deletion
AC073488.2,deletion
AC073488.3,deletion
AC073488.4,deletion
AC073488.5,deletion
AC073488.6,deletion
AC073488.7,deletion
AC073488.8,deletion
AC073488.9,deletion
AC073508.1,deletion
AC073508.2,deletion
AC073508.3,deletion
AC073517.1,deletion
AC073521.1,deletion
AC073522.1,deletion
AC073525.1,deletion
AC073529.1,deletion
AC073530.1,deletion
AC073530.2,deletion
AC073534.1,deletion
AC073534.2,deletion
AC073539.1,deletion
AC073539.2,deletion
AC073539.3,deletion
AC073539.7,deletion
AC073544.1,deletion
AC073548.1,deletion
AC073551.1,deletion
AC073569.1,deletion
AC073569.2,deletion
AC073569.3,deletion
AC073571.1,deletion
AC073573.1,deletion
AC073575.1,deletion
AC073575.2,deletion
AC073578.1,deletion
AC073578.2,deletion
AC073578.3,deletion
AC073578.4,deletion
AC073581.1,deletion
AC073583.1,deletion
AC073585.1,deletion
AC073587.1,deletion
AC073591.1,deletion
AC073592.1,deletion
AC073592.10,deletion
AC073592.2,deletion
AC073592.3,deletion
AC073592.4,deletion
AC073592.5,deletion
AC073592.6,deletion
AC073592.7,deletion
AC073592.8,deletion
AC073592.9,deletion
AC073593.1,deletion
AC073594.1,deletion
AC073610.1,deletion
AC073610.2,deletion
AC073610.3,deletion
AC073611.1,deletion
AC073612.1,deletion
AC073614.1,deletion
AC073621.1,deletion
AC073626.1,deletion
AC073626.2,deletion
AC073636.1,deletion
AC073641.1,deletion
AC073648.1,deletion
AC073648.2,deletion
AC073648.3,deletion
AC073648.4,deletion
AC073648.5,deletion
