gene_name,cn_type
AC002553.2,deletion
AC002558.1,deletion
AC002558.2,deletion
AC002558.3,deletion
AC002563.1,deletion
AC002984.1,deletion
AC002985.1,deletion
AC002996.1,deletion
AC003001.1,deletion
AC003001.2,deletion
AC003002.1,deletion
AC003002.2,deletion
AC003002.3,deletion
AC003005.1,deletion
AC003005.2,deletion
AC003006.1,deletion
AC003009.1,deletion
AC003035.1,deletion
AC003035.2,deletion
AC003043.1,deletion
AC003043.2,deletion
AC003045.1,deletion
AC003070.1,deletion
AC003070.2,deletion
AC003071.1,deletion
AC003071.2,deletion
AC003072.1,deletion
AC003080.1,deletion
AC003084.1,deletion
AC003087.1,deletion
AC003092.1,deletion
AC003092.2,deletion
AC003098.1,deletion
AC003101.1,deletion
AC003101.2,deletion
AC003101.3,deletion
AC003102.1,deletion
AC003659.1,deletion
AC003666.1,deletion
AC003669.1,deletion
AC003681.1,deletion
AC003682.1,deletion
AC003684.1,deletion
AC003685.1,deletion
AC003685.2,deletion
AC003686.1,deletion
AC003687.1,deletion
AC003688.1,deletion
AC003688.2,deletion
AC003956.1,deletion
AC003957.1,deletion
AC003958.1,deletion
AC003958.2,deletion
AC003965.1,deletion
AC003965.2,deletion
AC003973.1,deletion
AC003973.2,deletion
AC003973.3,deletion
AC003975.1,deletion
AC003982.1,deletion
AC003984.1,deletion
AC003985.1,deletion
AC003985.2,deletion
AC003986.1,deletion
AC003986.2,deletion
AC003986.3,deletion
AC003988.1,deletion
AC003989.1,deletion
AC003989.2,deletion
AC003991.1,deletion
AC003991.2,deletion
AC003992.1,deletion
AC004000.1,deletion
AC004004.1,deletion
AC004006.1,deletion
AC004009.1,deletion
AC004009.2,deletion
AC004009.3,deletion
AC004012.1,deletion
AC004014.1,deletion
AC004014.2,deletion
AC004022.1,deletion
AC004022.2,deletion
AC004023.1,deletion
AC004024.1,deletion
AC004034.1,deletion
AC004039.1,deletion
AC004052.1,deletion
AC004053.1,deletion
AC004054.1,deletion
AC004057.1,deletion
AC004062.1,deletion
AC004063.1,deletion
AC004066.1,deletion
AC004066.2,deletion
AC004067.1,deletion
AC004069.1,deletion
AC004069.2,deletion
AC004074.1,deletion
AC004076.1,deletion
AC004076.2,deletion
AC004080.1,deletion
AC004080.2,deletion
AC004080.3,deletion
AC004080.4,deletion
AC004080.5,deletion
AC004080.6,deletion
AC004112.1,deletion
AC004129.1,deletion
AC004129.2,deletion
AC004130.1,deletion
AC004134.1,deletion
AC004147.1,deletion
AC004147.2,deletion
AC004147.3,deletion
AC004147.4,deletion
AC004147.5,deletion
AC004148.1,deletion
AC004148.2,deletion
AC004149.1,deletion
AC004156.1,deletion
AC004158.1,deletion
AC004160.1,deletion
AC004160.2,deletion
AC004217.1,deletion
AC004217.2,deletion
AC004221.1,deletion
AC004223.1,deletion
AC004223.2,deletion
AC004223.3,deletion
AC004223.4,deletion
AC004224.1,deletion
AC004224.2,deletion
AC004231.1,deletion
AC004231.3,deletion
AC004232.1,deletion
AC004232.2,deletion
AC004232.3,deletion
AC004233.1,deletion
AC004233.2,deletion
AC004233.3,deletion
AC004233.4,deletion
AC004241.1,deletion
AC004241.2,deletion
AC004241.3,deletion
AC004241.4,deletion
AC004241.5,deletion
AC004253.1,deletion
AC004253.2,deletion
AC004257.1,deletion
AC004263.1,deletion
AC004264.1,deletion
AC004264.2,deletion
AC004381.1,deletion
AC004381.2,deletion
AC004381.3,deletion
AC004383.1,deletion
AC004386.1,deletion
AC004386.2,deletion
AC004408.1,deletion
AC004408.2,deletion
AC004415.1,deletion
AC004448.1,deletion
AC004448.2,deletion
AC004448.3,deletion
AC004449.1,deletion
